"state","run_exp"
"0000",0.514232181463571
"0001",0.275796220481498
"0002",0.107495644778707
"0010",1.40309646466857
"0011",0.956117588393585
"0012",0.360936043892365
"0100",1.14904367900153
"0101",0.689635251520367
"0102",0.329647929621878
"0110",1.92195990613118
"0111",1.38244552706404
"0112",0.588115752566626
"1000",0.90537582946617
"1001",0.542816388870807
"1002",0.24645152416292
"1010",1.82845103833446
"1011",1.18483448342368
"1012",0.543998179409949
"1100",1.49212186241151
"1101",0.946569268552985
"1102",0.475289755163426
"1110",2.27859356408738
"1111",1.61764597898893
"1112",0.791629285044099
